student_id,grade_level,predicted_grade,pred_lower_95,pred_upper_95,prediction_std,recommendation,intervention,end_of_quarter_grade,run_timestamp_utc,model_version,random_seed,threshold_parent_outreach,data_source
1,12,78,74.51478048897921,81.48521951102079,1.778173219908567,None,Monitor Progress,78,2026-07-04T191933Z,rf_n100_seed42,42,65,synthetic_ml_training_data
2,10,75,70.3283285903223,79.6716714096777,2.383505821264131,None,Monitor Progress,75,2026-07-04T191933Z,rf_n100_seed42,42,65,synthetic_ml_training_data
3,12,86,81.98419962647544,90.01580037352456,2.0488777415941635,None,Excellent Progress,86,2026-07-04T191933Z,rf_n100_seed42,42,65,synthetic_ml_training_data
4,12,86,80.86723187354036,91.13276812645964,2.618759248193694,None,Excellent Progress,87,2026-07-04T191933Z,rf_n100_seed42,42,65,synthetic_ml_training_data
5,10,78,71.74099846940425,84.25900153059575,3.1933681278549764,None,Monitor Progress,76,2026-07-04T191933Z,rf_n100_seed42,42,65,synthetic_ml_training_data
6,10,79,72.4449500261249,85.5550499738751,3.3444132519770937,None,Monitor Progress,80,2026-07-04T191933Z,rf_n100_seed42,42,65,synthetic_ml_training_data
7,12,80,76.5103742550239,83.4896257449761,1.7804212984571937,None,Excellent Progress,80,2026-07-04T191933Z,rf_n100_seed42,42,65,synthetic_ml_training_data
8,11,87,81.0173106916705,92.9826893083295,3.05239250424974,None,Excellent Progress,89,2026-07-04T191933Z,rf_n100_seed42,42,65,synthetic_ml_training_data
9,12,86,80.01368381723785,91.98631618276215,3.0542429503888524,None,Excellent Progress,84,2026-07-04T191933Z,rf_n100_seed42,42,65,synthetic_ml_training_data
10,12,76,71.2078501025114,80.7921498974886,2.4449744374941837,None,Monitor Progress,76,2026-07-04T191933Z,rf_n100_seed42,42,65,synthetic_ml_training_data
11,12,80,72.79799340183584,87.20200659816416,3.67449316232865,None,Excellent Progress,77,2026-07-04T191933Z,rf_n100_seed42,42,65,synthetic_ml_training_data
12,12,84,80.1855459106184,87.8144540893816,1.9461500456028564,None,Excellent Progress,84,2026-07-04T191933Z,rf_n100_seed42,42,65,synthetic_ml_training_data
13,10,84,78.52282567741358,89.47717432258642,2.794476695197153,None,Excellent Progress,82,2026-07-04T191933Z,rf_n100_seed42,42,65,synthetic_ml_training_data
14,12,90,86.62270899092186,93.37729100907814,1.7231076576929252,None,Excellent Progress,89,2026-07-04T191933Z,rf_n100_seed42,42,65,synthetic_ml_training_data
15,11,88,84.17423262599515,91.82576737400485,1.9519221295943137,None,Excellent Progress,89,2026-07-04T191933Z,rf_n100_seed42,42,65,synthetic_ml_training_data
16,10,83,77.68081132502334,88.31918867497666,2.7138717729472774,None,Excellent Progress,82,2026-07-04T191933Z,rf_n100_seed42,42,65,synthetic_ml_training_data
17,11,86,79.52514363402554,92.47485636597446,3.3034981459053365,None,Excellent Progress,84,2026-07-04T191933Z,rf_n100_seed42,42,65,synthetic_ml_training_data
18,11,79,72.05993918182268,85.94006081817732,3.540847356212916,None,Monitor Progress,77,2026-07-04T191933Z,rf_n100_seed42,42,65,synthetic_ml_training_data
19,11,87,80.34814577429722,93.65185422570278,3.393803176378972,None,Excellent Progress,89,2026-07-04T191933Z,rf_n100_seed42,42,65,synthetic_ml_training_data
20,11,91,87.42462475256093,94.57537524743907,1.824171044611771,None,Excellent Progress,91,2026-07-04T191933Z,rf_n100_seed42,42,65,synthetic_ml_training_data
21,10,94,88.96119869810289,99.03880130189711,2.5708169907638307,None,Excellent Progress,95,2026-07-04T191933Z,rf_n100_seed42,42,65,synthetic_ml_training_data
22,10,80,74.49540010536643,85.50459989463357,2.8084693339967237,None,Excellent Progress,81,2026-07-04T191933Z,rf_n100_seed42,42,65,synthetic_ml_training_data
23,11,79,69.65517712527412,88.34482287472588,4.767766772819325,None,Monitor Progress,76,2026-07-04T191933Z,rf_n100_seed42,42,65,synthetic_ml_training_data
24,11,78,68.00094517266757,87.99905482733243,5.101558585373689,None,Monitor Progress,70,2026-07-04T191933Z,rf_n100_seed42,42,65,synthetic_ml_training_data
25,10,89,84.9976147311884,93.0023852688116,2.042033300414075,None,Excellent Progress,89,2026-07-04T191933Z,rf_n100_seed42,42,65,synthetic_ml_training_data
26,10,73,66.05219394628779,79.94780605371221,3.5447990069960245,None,Student Counseling,67,2026-07-04T191933Z,rf_n100_seed42,42,65,synthetic_ml_training_data
27,10,79,73.6257386144699,84.3742613855301,2.741970094658219,None,Monitor Progress,80,2026-07-04T191933Z,rf_n100_seed42,42,65,synthetic_ml_training_data
28,12,79,74.40406120145187,83.59593879854813,2.3448667339531264,None,Monitor Progress,79,2026-07-04T191933Z,rf_n100_seed42,42,65,synthetic_ml_training_data
29,12,94,86.57721320257681,101.42278679742319,3.7871361211342807,None,Excellent Progress,96,2026-07-04T191933Z,rf_n100_seed42,42,65,synthetic_ml_training_data
30,12,89,81.440292450101,96.559707549899,3.8569936479076548,None,Excellent Progress,92,2026-07-04T191933Z,rf_n100_seed42,42,65,synthetic_ml_training_data
31,11,74,62.38642524629044,85.61357475370956,5.925293241688549,Parent Outreach,Student Counseling,71,2026-07-04T191933Z,rf_n100_seed42,42,65,synthetic_ml_training_data
32,12,78,73.30892107932515,82.69107892067485,2.3934076125892134,None,Monitor Progress,78,2026-07-04T191933Z,rf_n100_seed42,42,65,synthetic_ml_training_data
